,MSN,StateCode,Year,Data
0,ESACB,WA,1960,4.0
1,ESACB,WA,1961,4.0
2,ESACB,WA,1962,5.0
3,ESACB,WA,1963,5.0
4,ESACB,WA,1964,5.0
5,ESACB,WA,1965,5.0
6,ESACB,WA,1966,5.0
7,ESACB,WA,1967,5.0
8,ESACB,WA,1968,5.0
9,ESACB,WA,1969,5.0
10,ESACB,WA,1970,5.0
11,ESACB,WA,1971,5.0
12,ESACB,WA,1972,5.0
13,ESACB,WA,1973,5.0
14,ESACB,WA,1974,5.0
15,ESACB,WA,1975,5.0
16,ESACB,WA,1976,5.0
17,ESACB,WA,1977,5.0
18,ESACB,WA,1978,5.0
19,ESACB,WA,1979,5.0
20,ESACB,WA,1980,7.0
21,ESACB,WA,1981,15.0
22,ESACB,WA,1982,41.0
23,ESACB,WA,1983,48.0
24,ESACB,WA,1984,48.0
25,ESACB,WA,1985,46.0
26,ESACB,WA,1986,46.0
27,ESACB,WA,1987,49.0
28,ESACB,WA,1988,46.0
29,ESACB,WA,1989,53.0
30,ESACB,WA,1990,53.0
31,ESACB,WA,1991,63.0
32,ESACB,WA,1992,67.0
33,ESACB,WA,1993,63.0
34,ESACB,WA,1994,64.0
35,ESACB,WA,1995,62.0
36,ESACB,WA,1996,60.0
37,ESACB,WA,1997,62.0
38,ESACB,WA,1998,62.0
39,ESACB,WA,1999,68.0
40,ESACB,WA,2000,63.0
41,ESACB,WA,2001,66.0
42,ESACB,WA,2002,64.0
43,ESACB,WA,2003,144.0
44,ESACB,WA,2004,142.0
45,ESACB,WA,2005,6.0
46,ESACB,WA,2006,4.0
47,ESACB,WA,2007,5.0
48,ESACB,WA,2008,5.0
49,ESACB,WA,2009,9.0
50,ESACB,WA,2010,24.0
51,ESACB,WA,2011,24.0
52,ESACB,WA,2012,24.0
53,ESACB,WA,2013,20.0
54,ESACB,WA,2014,16.0
55,ESACB,WA,2015,18.0
56,ESACB,WA,2016,21.0
57,ESACB,WA,2017,24.0
58,ESACB,WA,2018,24.0
59,ESACB,WA,2019,337.0
60,ESACB,WA,2020,334.0
61,TEACB,WA,1960,180038.0
62,TEACB,WA,1961,184221.0
63,TEACB,WA,1962,191597.0
64,TEACB,WA,1963,193702.0
65,TEACB,WA,1964,200152.0
66,TEACB,WA,1965,206180.0
67,TEACB,WA,1966,224455.0
68,TEACB,WA,1967,248016.0
69,TEACB,WA,1968,282703.0
70,TEACB,WA,1969,290040.0
71,TEACB,WA,1970,291220.0
72,TEACB,WA,1971,298120.0
73,TEACB,WA,1972,302952.0
74,TEACB,WA,1973,329185.0
75,TEACB,WA,1974,329110.0
76,TEACB,WA,1975,351939.0
77,TEACB,WA,1976,367996.0
78,TEACB,WA,1977,378496.0
79,TEACB,WA,1978,406593.0
80,TEACB,WA,1979,437458.0
81,TEACB,WA,1980,416128.0
82,TEACB,WA,1981,405573.0
83,TEACB,WA,1982,379973.0
84,TEACB,WA,1983,366349.0
85,TEACB,WA,1984,392840.0
86,TEACB,WA,1985,414170.0
87,TEACB,WA,1986,482626.0
88,TEACB,WA,1987,497334.0
89,TEACB,WA,1988,520178.0
90,TEACB,WA,1989,561297.0
91,TEACB,WA,1990,570959.0
92,TEACB,WA,1991,579683.0
93,TEACB,WA,1992,646082.0
94,TEACB,WA,1993,592511.0
95,TEACB,WA,1994,609445.0
96,TEACB,WA,1995,633489.0
97,TEACB,WA,1996,622542.0
98,TEACB,WA,1997,638511.0
99,TEACB,WA,1998,603397.0
100,TEACB,WA,1999,614736.0
101,TEACB,WA,2000,626425.0
102,TEACB,WA,2001,599324.0
103,TEACB,WA,2002,583866.0
104,TEACB,WA,2003,585232.0
105,TEACB,WA,2004,604092.0
106,TEACB,WA,2005,612870.0
107,TEACB,WA,2006,628978.0
108,TEACB,WA,2007,667346.0
109,TEACB,WA,2008,607175.0
110,TEACB,WA,2009,597417.0
111,TEACB,WA,2010,555428.0
112,TEACB,WA,2011,570277.0
113,TEACB,WA,2012,571883.0
114,TEACB,WA,2013,585103.0
115,TEACB,WA,2014,572869.0
116,TEACB,WA,2015,611895.0
117,TEACB,WA,2016,680677.0
118,TEACB,WA,2017,656410.0
119,TEACB,WA,2018,656582.0
120,TEACB,WA,2019,676682.0
121,TEACB,WA,2020,504756.0
