,Predicted_MWH,Year
0,102071533.0,1990
1,102870562.0,1991
2,86482429.0,1992
3,87995776.0,1993
4,88586476.0,1994
5,102197586.0,1995
6,118658132.0,1996
7,122126167.0,1997
8,102158508.0,1998
9,117084018.0,1999
10,108236880.0,2000
11,83048669.0,2001
12,102765048.0,2002
13,100094691.0,2003
14,102165052.0,2004
15,101965850.0,2005
16,108203155.0,2006
17,106990217.0,2007
18,110828451.0,2008
19,104470133.0,2009
20,103472729.0,2010
21,115262600.82,2011
22,116835473.0,2012
23,114172916.23,2013
24,116334363.0,2014
25,109287458.0,2015
26,114086582.0,2016
27,115912078.0,2017
28,116756729.0,2018
29,106463608.0,2019
30,116114468.0,2020
31,110808401.0,2021
32,32240743.776193023,2022
33,32696971.47406721,2023
34,33153199.17194152,2024
35,33609426.86981583,2025
36,34065654.567690015,2026
37,34521882.26556432,2027
38,34978109.96343863,2028
39,35434337.66131282,2029
40,35890565.359187126,2030
41,36346793.057061315,2031
42,36803020.75493562,2032
43,37259248.45280993,2033
44,37715476.15068412,2034
45,38171703.848558426,2035
46,38627931.54643273,2036
47,39084159.24430692,2037
48,39540386.94218123,2038
49,39996614.64005542,2039
50,40452842.337929726,2040
51,40909070.03580403,2041
52,41365297.73367822,2042
53,41821525.43155253,2043
54,42277753.12942684,2044
55,42733980.827301025,2045
56,43190208.52517533,2046
57,43646436.22304952,2047
58,44102663.92092383,2048
59,44558891.61879814,2049
60,45015119.316672325,2050
61,45471347.01454663,2051
62,45927574.71242082,2052
63,46383802.41029513,2053
64,46840030.10816944,2054
65,47296257.806043625,2055
66,47752485.50391793,2056
67,48208713.20179224,2057
68,48664940.89966643,2058
69,49121168.597540736,2059
70,49577396.295414925,2060
71,50033623.99328923,2061
72,50489851.69116354,2062
73,50946079.38903773,2063
74,51402307.086912036,2064
75,51858534.78478634,2065
76,52314762.48266053,2066
77,52770990.18053484,2067
78,53227217.87840903,2068
79,53683445.576283336,2069
80,54139673.27415764,2070
81,54595900.97203183,2071
